article_id,date,township,event_type,killed,injured,displaced,scope,notes,outlet,url
1,2026-09-06,Paletwa,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Indigenous Khumi Chin leaders and civil society groups opposed the Arakan Army’s implementation of an Arakan-language curriculum,Chin World,https://www.bnionline.net/en/news/khumi-chin-community-opposes-aas-arakan-language-curriculum-paletwa
2,2026-09-08,Taunggyi,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Fraudsters targeting travelers at intercity bus stops to collect national identification card data for telecom scam syndicates,Shan Herald Agency for News,https://www.bnionline.net/en/news/scammers-target-myanmar-travelers-shan-state-fuel-telecom-fraud-operations
2,2026-09-08,Aungpan,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Fraudsters operating in Aungpan to steal personal data for online scam operations,Shan Herald Agency for News,https://www.bnionline.net/en/news/scammers-target-myanmar-travelers-shan-state-fuel-telecom-fraud-operations
3,2026-09-05,Bhamo,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,Hsinhkan Bridge damaged in a military junta airstrike; associated ground clashes led to the capture of nearly 200 prisoners of war,Kachin News Group,https://www.bnionline.net/en/news/key-myanmar-bridge-damaged-junta-airstrike-amid-heavy-fighting-near-bhamo
3,2026-09-08,Shwegu,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta vessels remain stranded in Shwegu Township following intense ambushes,Kachin News Group,https://www.bnionline.net/en/news/key-myanmar-bridge-damaged-junta-airstrike-amid-heavy-fighting-near-bhamo
4,2026-09-07,Sittwe,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Intense clashes continued for a fourth consecutive day along the border of Sittwe and Ponnagyun townships,Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Ponnagyun,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Intense clashes and bombardment forced thousands of civilians to flee; original text states 'thousands of civilians',Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Rathedaung,artillery,UNCLEAR,UNCLEAR,UNCLEAR,incident,"Junta unleashed heavy artillery, drone strikes, and jet fighter bombardments, displacing thousands of civilians",Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Pauktaw,artillery,UNCLEAR,UNCLEAR,UNCLEAR,incident,"Junta unleashed heavy artillery, drone strikes, and jet fighter bombardments targeting civilian communities",Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Kyaukphyu,ground_clash,UNCLEAR,UNCLEAR,UNCLEAR,incident,Heavy fighting continues in Kyaukphyu Township amid junta naval movements and ground advances,Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Thandwe,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta forces attempting amphibious landings supported by relentless airstrikes,Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
4,2026-09-07,Gwa,airstrike,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta forces attempting amphibious landings supported by relentless airstrikes,Development Media Group,https://www.bnionline.net/en/news/heavy-fighting-enters-fourth-day-myanmar-junta-tries-advance-along-sittwe-ponnagyun-border
5,2026-09-04,Thanbyuzayat,arrest_detention,UNCLEAR,UNCLEAR,UNCLEAR,incident,"A married couple, 31-year-old Aung Myint Mo Htet and his wife Ma Phyu Phyu Aung, were arrested",Independent Mon News Agency,https://www.bnionline.net/en/news/myanmar-junta-arrests-married-couple-mon-state-over-alleged-links-resistance-groups
6,2026-09-08,Kale,other,5,UNCLEAR,1000,period_summary,"Severe flooding killed at least five people, including two children, and displaced more than 1,000 residents",Mizzima,https://www.bnionline.net/en/news/least-five-dead-including-two-children-severe-flooding-hits-myanmars-kale-township
7,2026-09-07,UNCLEAR,other,UNCLEAR,UNCLEAR,UNCLEAR,incident,Narinjara News marked its 25th anniversary amid ongoing press freedom crisis and conflict,Development Media Group,https://www.bnionline.net/en/news/arakan-ethnic-media-outlet-narinjara-news-marks-25-years-amid-press-freedom-crisis
8,2026-09-03,Yebyu,artillery,UNCLEAR,1,UNCLEAR,incident,A 38-year-old woman was injured when an artillery shell struck a residential area,Independent Mon News Agency,https://www.bnionline.net/en/news/woman-injured-junta-artillery-shelling-southern-myanmar
9,2026-09-05,Myingyan,aid_access,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta forces banned residents from entering Myingyan to purchase food and medicine,Mizzima,https://www.bnionline.net/en/news/myanmar-junta-bans-villagers-mandalays-myingyan-district-buying-rice
9,2026-09-05,Taungtha,aid_access,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta forces banned residents from entering Taungtha to purchase food and medicine,Mizzima,https://www.bnionline.net/en/news/myanmar-junta-bans-villagers-mandalays-myingyan-district-buying-rice
9,2026-09-07,Natogyi,aid_access,UNCLEAR,UNCLEAR,UNCLEAR,incident,Junta forces banned residents from entering Natogyi to purchase food and medicine starting September 7,Mizzima,https://www.bnionline.net/en/news/myanmar-junta-bans-villagers-mandalays-myingyan-district-buying-rice
